model,query_source,feature_set,held_out_question,dimension,alpha,inner_accuracy,inner_spearman,inner_mae,feature_count,train_documents,test_documents
matched_full_global_rubric,matched_full,global_rubric,4,comprehensiveness,100.00000000,0.60462963,0.30816652,0.77634376,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,4,insight,1000.00000000,0.64537037,0.43585464,1.04363668,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,4,instruction_following,100.00000000,0.59074074,0.36714760,0.92059713,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,4,readability,1000.00000000,0.71759259,0.57471741,0.68972312,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,5,comprehensiveness,100.00000000,0.61203704,0.32206993,0.69313624,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,5,insight,1000.00000000,0.67777778,0.51017630,0.93899724,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,5,instruction_following,1000.00000000,0.56851852,0.32516185,0.70413426,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,5,readability,1000.00000000,0.72222222,0.59700334,0.68553568,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,6,comprehensiveness,100.00000000,0.61388889,0.33598319,0.67247593,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,6,insight,1000.00000000,0.66018519,0.48133240,0.92921407,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,6,instruction_following,1000.00000000,0.59537037,0.38467226,0.67984200,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,6,readability,1000.00000000,0.68981481,0.51906577,0.71227907,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,7,comprehensiveness,10.00000000,0.60648148,0.29569266,0.74808758,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,7,insight,100.00000000,0.66111111,0.45812853,1.07387848,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,7,instruction_following,1000.00000000,0.52685185,0.19161100,0.64759352,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,7,readability,1000.00000000,0.68796296,0.51607034,0.66703753,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,16,comprehensiveness,100.00000000,0.62500000,0.34672697,0.63753286,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,16,insight,100.00000000,0.66944444,0.49164450,1.08942883,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,16,instruction_following,1000.00000000,0.60185185,0.37611485,0.74165718,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,16,readability,1000.00000000,0.71111111,0.56940183,0.65343882,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,17,comprehensiveness,100.00000000,0.62222222,0.34952307,0.65770831,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,17,insight,1000.00000000,0.64722222,0.43372294,1.02372458,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,17,instruction_following,100.00000000,0.56851852,0.32454256,0.90855014,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,17,readability,1000.00000000,0.67962963,0.48224345,0.70400561,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,18,comprehensiveness,100.00000000,0.60370370,0.30043975,0.64797680,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,18,insight,1000.00000000,0.67500000,0.50837204,1.08563195,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,18,instruction_following,10.00000000,0.61481481,0.42539489,1.47681329,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,18,readability,1000.00000000,0.70925926,0.55923996,0.70037867,1055,144,16
matched_full_rubric_structure,matched_full,rubric_structure,1,comprehensiveness,1000.00000000,0.66018519,0.42807291,0.61301530,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,1,insight,100.00000000,0.64907407,0.46384061,0.95691068,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,1,instruction_following,10.00000000,0.58055556,0.35796670,0.94281306,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,1,readability,1000.00000000,0.71018519,0.57481795,0.65636238,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,2,comprehensiveness,1000.00000000,0.62962963,0.34748319,0.60430503,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,2,insight,100.00000000,0.65648148,0.47300721,0.93429096,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,2,instruction_following,1.00000000,0.56944444,0.33949390,0.96805889,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,2,readability,1000.00000000,0.71111111,0.58266530,0.68954785,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,3,comprehensiveness,100.00000000,0.65648148,0.43444427,0.57719542,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,3,insight,100.00000000,0.64722222,0.45162614,0.89893258,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,3,instruction_following,10.00000000,0.59629630,0.38292579,0.83660453,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,3,readability,1000.00000000,0.71388889,0.58522843,0.71659019,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,4,comprehensiveness,1000.00000000,0.62592593,0.33881792,0.57878326,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,4,insight,1000.00000000,0.61759259,0.37542098,0.96119845,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,4,instruction_following,100.00000000,0.55000000,0.26144412,0.83892979,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,4,readability,1000.00000000,0.71481481,0.58958488,0.72459623,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,5,comprehensiveness,100.00000000,0.64074074,0.37590095,0.56996606,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,5,insight,100.00000000,0.68796296,0.53990490,0.84168338,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,5,instruction_following,1000.00000000,0.58703704,0.34916797,0.74162785,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,5,readability,1000.00000000,0.73148148,0.63608921,0.67686702,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,6,comprehensiveness,100.00000000,0.64259259,0.40634502,0.57737909,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,6,insight,100.00000000,0.65462963,0.46264715,0.99090456,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,6,instruction_following,100.00000000,0.58240741,0.35283115,0.77035331,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,6,readability,1000.00000000,0.70648148,0.57416099,0.74314268,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,7,comprehensiveness,100.00000000,0.63425926,0.36799182,0.60140297,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,7,insight,100.00000000,0.63981481,0.42355544,1.05197956,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,7,instruction_following,100.00000000,0.55370370,0.24987601,0.75511633,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,7,readability,1000.00000000,0.70925926,0.56528105,0.69309303,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,16,comprehensiveness,100.00000000,0.63240741,0.36951122,0.55047062,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,16,insight,10.00000000,0.63518519,0.42651125,1.10102264,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,16,instruction_following,100.00000000,0.57407407,0.32589453,0.81987248,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,16,readability,1000.00000000,0.71944444,0.60767060,0.63928035,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,17,comprehensiveness,100.00000000,0.63796296,0.36130834,0.61250329,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,17,insight,100.00000000,0.62500000,0.38055631,1.00572347,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,17,instruction_following,1.00000000,0.59166667,0.38100625,0.89288774,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,17,readability,1000.00000000,0.69629630,0.55121950,0.71029472,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,18,comprehensiveness,1000.00000000,0.62685185,0.35526974,0.58387991,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,18,insight,100.00000000,0.63981481,0.42584928,0.91520518,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,18,instruction_following,10.00000000,0.56481481,0.31675267,0.72960487,54,144,16
matched_full_rubric_structure,matched_full,rubric_structure,18,readability,1000.00000000,0.71018519,0.58490224,0.72056566,54,144,16
matched_full_all,matched_full,all,1,comprehensiveness,100.00000000,0.64166667,0.37863362,0.76085714,1078,144,16
