model,held_out_question,dimension,alpha,inner_accuracy,inner_spearman,inner_mae,feature_count,train_documents,test_documents
global_unbounded,18,instruction_following,10.00000000,0.60740741,0.42444667,1.58624163,1024,144,16
global_unbounded,18,readability,1000.00000000,0.70740741,0.53945295,0.74315679,1024,144,16
rubric_unbounded,1,comprehensiveness,10.00000000,0.68240741,0.48028854,0.61965718,31,144,16
rubric_unbounded,1,insight,10.00000000,0.59074074,0.29322327,1.05252300,31,144,16
rubric_unbounded,1,instruction_following,100.00000000,0.58148148,0.35753072,0.80670786,31,144,16
rubric_unbounded,1,readability,100.00000000,0.69259259,0.51711957,0.71710194,31,144,16
rubric_unbounded,2,comprehensiveness,10.00000000,0.67685185,0.48191185,0.61213321,31,144,16
rubric_unbounded,2,insight,10.00000000,0.61481481,0.35021044,1.00451660,31,144,16
rubric_unbounded,2,instruction_following,0.01000000,0.58518519,0.39164734,0.89442325,31,144,16
rubric_unbounded,2,readability,1000.00000000,0.66574074,0.45976133,0.73004770,31,144,16
rubric_unbounded,3,comprehensiveness,10.00000000,0.68425926,0.50509534,0.58645675,31,144,16
rubric_unbounded,3,insight,10.00000000,0.60277778,0.31895283,0.97249765,31,144,16
rubric_unbounded,3,instruction_following,10.00000000,0.60925926,0.43268161,0.75311145,31,144,16
rubric_unbounded,3,readability,100.00000000,0.68703704,0.51496121,0.79597140,31,144,16
rubric_unbounded,4,comprehensiveness,10.00000000,0.65925926,0.44235408,0.57835992,31,144,16
rubric_unbounded,4,insight,10.00000000,0.58703704,0.27348654,1.05172261,31,144,16
rubric_unbounded,4,instruction_following,100.00000000,0.56851852,0.31481534,0.78162568,31,144,16
rubric_unbounded,4,readability,100.00000000,0.69351852,0.52357133,0.79435887,31,144,16
rubric_unbounded,5,comprehensiveness,10.00000000,0.65740741,0.44735785,0.57069952,31,144,16
rubric_unbounded,5,insight,100.00000000,0.61111111,0.34037899,0.99656326,31,144,16
rubric_unbounded,5,instruction_following,10.00000000,0.61111111,0.43864353,0.75044613,31,144,16
rubric_unbounded,5,readability,100.00000000,0.71388889,0.57969175,0.70891491,31,144,16
rubric_unbounded,6,comprehensiveness,10.00000000,0.67314815,0.48240436,0.58983254,31,144,16
rubric_unbounded,6,insight,10.00000000,0.60740741,0.33862445,1.09400000,31,144,16
rubric_unbounded,6,instruction_following,100.00000000,0.59444444,0.37361600,0.72480864,31,144,16
rubric_unbounded,6,readability,100.00000000,0.68055556,0.47937663,0.80788403,31,144,16
rubric_unbounded,7,comprehensiveness,10.00000000,0.66111111,0.43214098,0.58611114,31,144,16
rubric_unbounded,7,insight,0.01000000,0.59444444,0.28153885,1.13392961,31,144,16
rubric_unbounded,7,instruction_following,100.00000000,0.58518519,0.34874731,0.69322558,31,144,16
rubric_unbounded,7,readability,1000.00000000,0.66759259,0.46607662,0.74539710,31,144,16
rubric_unbounded,16,comprehensiveness,100.00000000,0.63055556,0.36287570,0.52677292,31,144,16
rubric_unbounded,16,insight,100.00000000,0.60277778,0.31279041,1.11332156,31,144,16
rubric_unbounded,16,instruction_following,100.00000000,0.60648148,0.38035723,0.74035646,31,144,16
rubric_unbounded,16,readability,100.00000000,0.72129630,0.60308448,0.66196061,31,144,16
rubric_unbounded,17,comprehensiveness,100.00000000,0.66574074,0.43701991,0.57684225,31,144,16
rubric_unbounded,17,insight,10.00000000,0.57500000,0.24990666,1.08998058,31,144,16
rubric_unbounded,17,instruction_following,100.00000000,0.60925926,0.42768669,0.70930200,31,144,16
rubric_unbounded,17,readability,100.00000000,0.68240741,0.50251934,0.76657370,31,144,16
rubric_unbounded,18,comprehensiveness,10.00000000,0.64259259,0.39834850,0.59630141,31,144,16
rubric_unbounded,18,insight,0.10000000,0.56574074,0.22822914,1.10119446,31,144,16
rubric_unbounded,18,instruction_following,1.00000000,0.57962963,0.35403071,0.68875742,31,144,16
rubric_unbounded,18,readability,100.00000000,0.68796296,0.52196848,0.77816131,31,144,16
rubric_structure_unbounded,1,comprehensiveness,1000.00000000,0.66018519,0.42807291,0.61301530,54,144,16
rubric_structure_unbounded,1,insight,100.00000000,0.64907407,0.46384061,0.95691068,54,144,16
rubric_structure_unbounded,1,instruction_following,10.00000000,0.58055556,0.35796670,0.94281306,54,144,16
rubric_structure_unbounded,1,readability,1000.00000000,0.71018519,0.57481795,0.65636238,54,144,16
rubric_structure_unbounded,2,comprehensiveness,1000.00000000,0.62962963,0.34748319,0.60430503,54,144,16
rubric_structure_unbounded,2,insight,100.00000000,0.65648148,0.47300721,0.93429096,54,144,16
rubric_structure_unbounded,2,instruction_following,1.00000000,0.56944444,0.33949390,0.96805889,54,144,16
rubric_structure_unbounded,2,readability,1000.00000000,0.71111111,0.58266530,0.68954785,54,144,16
rubric_structure_unbounded,3,comprehensiveness,100.00000000,0.65648148,0.43444427,0.57719542,54,144,16
rubric_structure_unbounded,3,insight,100.00000000,0.64722222,0.45162614,0.89893258,54,144,16
rubric_structure_unbounded,3,instruction_following,10.00000000,0.59629630,0.38292579,0.83660453,54,144,16
rubric_structure_unbounded,3,readability,1000.00000000,0.71388889,0.58522843,0.71659019,54,144,16
rubric_structure_unbounded,4,comprehensiveness,1000.00000000,0.62592593,0.33881792,0.57878326,54,144,16
rubric_structure_unbounded,4,insight,1000.00000000,0.61759259,0.37542098,0.96119845,54,144,16
rubric_structure_unbounded,4,instruction_following,100.00000000,0.55000000,0.26144412,0.83892979,54,144,16
rubric_structure_unbounded,4,readability,1000.00000000,0.71481481,0.58958488,0.72459623,54,144,16
rubric_structure_unbounded,5,comprehensiveness,100.00000000,0.64074074,0.37590095,0.56996606,54,144,16
rubric_structure_unbounded,5,insight,100.00000000,0.68796296,0.53990490,0.84168338,54,144,16
rubric_structure_unbounded,5,instruction_following,1000.00000000,0.58703704,0.34916797,0.74162785,54,144,16
rubric_structure_unbounded,5,readability,1000.00000000,0.73148148,0.63608921,0.67686702,54,144,16
rubric_structure_unbounded,6,comprehensiveness,100.00000000,0.64259259,0.40634502,0.57737909,54,144,16
rubric_structure_unbounded,6,insight,100.00000000,0.65462963,0.46264715,0.99090456,54,144,16
rubric_structure_unbounded,6,instruction_following,100.00000000,0.58240741,0.35283115,0.77035331,54,144,16
rubric_structure_unbounded,6,readability,1000.00000000,0.70648148,0.57416099,0.74314268,54,144,16
rubric_structure_unbounded,7,comprehensiveness,100.00000000,0.63425926,0.36799182,0.60140297,54,144,16
