model,reportId,n_documents,spearman,kendall,accuracy,pair_correct,pair_total,spearman_comprehensiveness,kendall_comprehensiveness,accuracy_comprehensiveness,spearman_insight,kendall_insight,accuracy_insight,spearman_instruction_following,kendall_instruction_following,accuracy_instruction_following,spearman_readability,kendall_readability,accuracy_readability
odat_multioutput_ridge_loqo,1,16,0.83235294,0.68333333,0.84166667,101,120,0.52352941,0.36666667,0.68333333,0.77647059,0.60000000,0.80000000,0.21217458,0.13801311,0.53333333,0.66470588,0.45000000,0.72500000
odat_multioutput_ridge_loqo,2,16,0.91176471,0.78333333,0.89166667,107,120,0.82647059,0.66666667,0.83333333,0.91764706,0.78333333,0.89166667,0.69321836,0.54856716,0.75833333,0.61764706,0.38333333,0.69166667
odat_multioutput_ridge_loqo,3,16,0.87058824,0.71666667,0.85833333,103,120,0.11626199,0.05857792,0.52500000,0.83149397,0.64435710,0.81666667,0.61779473,0.49588954,0.71666667,0.72553368,0.56067436,0.77500000
odat_multioutput_ridge_loqo,4,16,0.92647059,0.78333333,0.89166667,107,120,0.63823529,0.48333333,0.74166667,0.88888913,0.74477639,0.86666667,0.64476661,0.44956020,0.61666667,0.50662794,0.36976095,0.67500000
odat_multioutput_ridge_loqo,5,16,0.60882353,0.40000000,0.70000000,84,120,0.51655643,0.37657233,0.68333333,0.52047847,0.36556308,0.63333333,0.21829004,0.17722939,0.57500000,0.38235294,0.28333333,0.64166667
odat_multioutput_ridge_loqo,6,16,0.74705882,0.56666667,0.78333333,94,120,0.52058824,0.41666667,0.70833333,0.58235294,0.40000000,0.70000000,0.75867675,0.59330557,0.77500000,0.28235294,0.20000000,0.60000000
odat_multioutput_ridge_loqo,7,16,0.92941176,0.81666667,0.90833333,109,120,0.57584746,0.43699022,0.70833333,0.82098697,0.64408733,0.76666667,0.85661850,0.72480115,0.74166667,0.64900680,0.47699162,0.73333333
odat_multioutput_ridge_loqo,16,16,0.86764706,0.68333333,0.84166667,101,120,0.88447412,0.72803985,0.85833333,0.75552365,0.55464143,0.76666667,0.53900718,0.45683219,0.58333333,0.82647059,0.70000000,0.85000000
odat_multioutput_ridge_loqo,17,16,0.86470588,0.71666667,0.85833333,103,120,0.66568719,0.52549922,0.74166667,0.82994319,0.64408733,0.76666667,0.78819725,0.57635398,0.76666667,0.66519518,0.52720127,0.75833333
odat_multioutput_ridge_loqo,18,16,0.52941176,0.41666667,0.70833333,85,120,0.54598985,0.41004543,0.70000000,0.45000000,0.30000000,0.65000000,0.45722913,0.27850333,0.62500000,0.17807216,0.14226066,0.56666667
